state,x,y
Alabama,120,-77
Alaska,-215,-170
Arizona,-215,-40
Arkansas,40,-53
California,-320,13
Colorado,-130,20
Connecticut,297,96
Delaware,275,42
Florida,200,-145
Georgia,170,-80
Hawaii,-317,-143
Idaho,-216,105
Illinois,85,37
Indiana,120,39
Iowa,30,65
Kansas,-25,5
Kentucky,135,-10
Louisiana,40,-114
Maine,310,164
Maryland,288,27
Massachusetts,312,112
Michigan,135,95
Minnesota,12,135
Mississippi,74,-88
Missouri,32,6
Montana,-155,150
Nebraska,-55,52
Nevada,-265,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-155,-55
New York,236,104
North Carolina,210,-30
North Dakota,-65,150
Ohio,170,45
Oklahoma,-25,-50
Oregon,-300,130
Pennsylvania,210,65
Rhode Island,318,86
South Carolina,210,-65
South Dakota,-65,100
Tennessee,115,-36
Texas,-38,-106
Utah,-192,34
Vermont,282,146
Virginia,220,2
Washington,-285,185
West Virginia,180,28
Wisconsin,60,113
Wyoming,-150,90
